id,path,class
0,train/Гароу/02b8c85727aa4d9978ae2cb518affb2a.jpg,Гароу
1,train/Гароу/07ab564da08a1579acecfd41d4b5859c.jpg,Гароу
2,train/Гароу/0e5b6f7f9e2afd75ef5d3269d8e618b3.jpg,Гароу
3,train/Гароу/0e90e4a1421b55d8714cf49fc35f6282.jpg,Гароу
4,train/Гароу/1a889943f42991fb690023b96874d47e.jpg,Гароу
5,train/Гароу/1dad30416a18bed44b9e908a5865dc2b.jpg,Гароу
6,train/Гароу/1eda201ea4d34ad9b25d4e61d6c56710.jpg,Гароу
7,train/Гароу/2e7ea286ef6fcd344de8f5f64a25db93.jpg,Гароу
8,train/Гароу/2f1c9fa7ac2c6e2dd24cf5b5f896dec3.jpg,Гароу
9,train/Гароу/2f9f3b7cd7a52c91f36fb6b46f01081f.jpg,Гароу
10,train/Гароу/2fd982c6e37e24c52c25aa9cc22120f3.jpg,Гароу
11,train/Гароу/3e34f94110d6770ad5ca27dd4d7087c5.jpg,Гароу
12,train/Гароу/3e7270b8e405ce37791f880814b751a2.jpg,Гароу
13,train/Гароу/3ecf4a4650b1043f3e8e41d9290f29f2.jpg,Гароу
14,train/Гароу/4a3d06aaa505287659e9b0034d89a622.jpg,Гароу
15,train/Гароу/4b573772d9d5ea3deb74b3795a14cb51.jpg,Гароу
16,train/Гароу/4b7b334800a84072aa76d04e01675bef.jpg,Гароу
17,train/Гароу/4c303561e90b39921563cdfcfbf080cf.jpg,Гароу
18,train/Гароу/4e8a76238be44a37082626a14f035f3d.jpg,Гароу
19,train/Гароу/5b542d263c314efcb43634b3c9ade646.jpg,Гароу
20,train/Гароу/5b66dd7076905ec7698d6ffba7d892c8.jpg,Гароу
21,train/Гароу/5e05b30a669a6afd3a29e6c1af16e112.jpg,Гароу
22,train/Гароу/5e9687f7d7574ebaf1c2aab9b2a74b3b.jpg,Гароу
23,train/Гароу/5fa8c68d6ec855b1b67e0f57db68e06b.jpg,Гароу
24,train/Гароу/6afde11baba682eb911973ecd8ad5154.jpg,Гароу
25,train/Гароу/6c39d51e6a2556506902e10ac82c4239.jpg,Гароу
26,train/Гароу/6e183fceb9d0d21003562984b4ee4052.jpg,Гароу
27,train/Гароу/6f729927a75405923483c14f1e14ca88.jpg,Гароу
28,train/Гароу/7a2fcabd9d56ef26508f3b5182a10a7b.jpg,Гароу
29,train/Гароу/7af9142baa45db754ca794517239b1b7.jpg,Гароу
30,train/Генос/08a7ce2efd7b8b95a254833da966265f.jpg,Генос
31,train/Генос/0c8cfc6db27f4a32cc8b353e95bad8c3.jpg,Генос
32,train/Генос/0ec0ab1f800ff7e2c7aa665963d17008.jpg,Генос
33,train/Генос/0ef2be2f2743c46cf26f7d650468685d.jpg,Генос
34,train/Генос/1c3a5b5e78fbfea0b6404f3bcbc2d704.jpg,Генос
35,train/Генос/1d2a1e9a2b609b48d8a37b912e1eb9be.jpg,Генос
36,train/Генос/1d7cf47b1acea3d75bf20db8fd63160b.jpg,Генос
37,train/Генос/1e11a579394e26d2116f2f896209fffb.jpg,Генос
38,train/Генос/1ef397155f2ecf982ce9dc9e5931fc14.jpg,Генос
39,train/Генос/1f032036d0d586f24e76c3f74f9ea33d.jpg,Генос
40,train/Генос/2bfd756d4126454043065142452d4338.jpg,Генос
41,train/Генос/2e0a1d2572ad904eddc7eb309f6e095e.jpg,Генос
42,train/Генос/2f165fa38c368097e6b8b2bbeb4cfe35.jpg,Генос
43,train/Генос/2f3fe36506d6872bd21046c476fc840f.jpg,Генос
44,train/Генос/3a64ee31470b67303d579cf5368c16f7.jpg,Генос
45,train/Генос/3ce9418d7765640e25f82e5d7af10cd4.jpg,Генос
46,train/Генос/3e3ac591879bb6f575b8a8c131727cbe.jpg,Генос
47,train/Генос/3e619be361561be7beb19dcf2b5d3485.jpg,Генос
48,train/Генос/3ec95a22f0e8a783d5e1632e4cb4edaa.jpg,Генос
49,train/Генос/3f506e9e7a6401f64866883a3d91ba0b.jpg,Генос
50,train/Генос/4c4c23ea9541617ac54233e76326962f.jpg,Генос
51,train/Генос/4d25bf1cdabf68503f0595fc0fa0ad9c.jpg,Генос
52,train/Генос/4d69f7335a3987115eb697da970d5e35.jpg,Генос
53,train/Генос/5a94db67d540da017372d6bbb69a272d.jpg,Генос
54,train/Генос/6b4891f65722dec908bf1bbc5cf1ca46.jpg,Генос
55,train/Генос/6beda844c571f3f3bd38f5150cdec985.jpg,Генос
56,train/Генос/6f695dd5827c7d079f18eca51191831c.jpg,Генос
57,train/Генос/7eba915886de1f2606be427480a52b55.jpg,Генос
58,train/Генос/8bac3bb45e0936e5d3121e88e1967b6c.jpg,Генос
59,train/Генос/8d2efa63a766877dfac96baf5576f867.jpg,Генос
60,train/Сайтама/05eaf704e653c1cedad80dedc0e30824.jpg,Сайтама
61,train/Сайтама/0a09659b49688d2014b931847c67236d.jpg,Сайтама
62,train/Сайтама/0cde603f5dffaff3eaf428dbc288c37a.jpg,Сайтама
63,train/Сайтама/1ca95286380d0da43a7e60098ee8977b.jpg,Сайтама
64,train/Сайтама/1d21741332c645c5505c725ade156484.jpg,Сайтама
65,train/Сайтама/1d2e3ceed973ab40d45ea6f03e264a6f.jpg,Сайтама
66,train/Сайтама/1e38ea096694a7d76722f109757ac2f7.jpg,Сайтама
67,train/Сайтама/2c096fd69184ea82e450552849554780.jpg,Сайтама
